,Name,Album,Artist,Release_date,Release_year,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
36,Alright,To Pimp A Butterfly,Kendrick Lamar,16/03/2015,2015,219333,72,0.0742,0.796,0.766,0,0.0827,0.558,-5.974,0.238,110.034,4
37,Delilah,"How Big, How Blue, How Beautiful (Deluxe)",Florence + The Machine,1/06/2015,2015,293468,49,0.096,0.426,0.87,0,0.112,0.414,-3.821,0.0621,169.946,4
38,Swear Jar,Swear Jar,Illy,17/11/2015,2015,186237,42,0.103,0.692,0.632,0,0.119,0.836,-7.009,0.326,135.668,4
39,Ship To Wreck,"How Big, How Blue, How Beautiful (Deluxe)",Florence + The Machine,1/06/2015,2015,234526,51,0.00147,0.564,0.923,0,0.277,0.587,-3.843,0.0325,141.991,4
40,Puppet Theatre,Puppet Theatre,Claptone,28/07/2015,2015,254640,0,0.0753,0.936,0.648,0.0509,0.104,0.663,-6.72,0.0404,115.026,4
41,Hold Me Down,BADLANDS (Deluxe),Halsey,28/08/2015,2015,204785,60,0.279,0.677,0.744,0,0.119,0.531,-4.512,0.0882,145.928,4
42,Pedestrian at Best,"Sometimes I Sit and Think, And Sometimes I Just Sit",Courtney Barnett,23/03/2015,2015,230560,0,4.61E-06,0.479,0.854,5.72E-05,0.372,0.535,-6.101,0.0405,136.067,4
43,Something About You,Something About You,Hayden James,22/04/2015,2015,225181,62,0.369,0.861,0.602,0.0644,0.0751,0.684,-7.314,0.0617,114.978,4
44,Throne,That's The Spirit,Bring Me The Horizon,11/09/2015,2015,191520,73,0.000455,0.426,0.888,0,0.306,0.387,-3.72,0.0987,144.111,4
45,Go,Born In The Echoes,The Chemical Brothers,10/07/2015,2015,260696,46,0.00957,0.751,0.897,2.88E-05,0.329,0.482,-3.598,0.0468,119.97,4
46,Dynamite (feat. Allday),Dynamite (feat. Allday),Asta,11/03/2015,2015,237491,24,0.0671,0.79,0.758,3.72E-05,0.0452,0.901,-5.982,0.0557,107.98,4
47,Crushed,Ire,Parkway Drive,25/09/2015,2015,276222,53,0.00228,0.404,0.964,5.16E-06,0.0888,0.24,-4.569,0.115,84.996,4
48,Too Much Time Together,Gracetown,San Cisco,6/03/2015,2015,169996,49,0.263,0.563,0.841,0.000258,0.0751,0.954,-5.35,0.0519,154.876,4
49,Deception Bay,Deception Bay – Single,Boo Seeka,7/08/2015,2015,189033,35,0.0305,0.483,0.801,0.00876,0.104,0.302,-5.253,0.0343,185.967,4
