,Name,Album,Artist,Release_date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,valence,Loudness,Speechiness,Tempo,Time_signature
0,Hoops,Hoops,The Rubens,2015-10-23,158946,0,0.248,0.738,0.517,2.27e-05,0.468,0.772,-5.82,0.0321,96.037,4
1,King Kunta,To Pimp A Butterfly,Kendrick Lamar,2015-03-16,234693,72,0.00589,0.884,0.657,0.0,0.154,0.489,-4.569,0.0977,107.059,4
2,Lean On (feat. MØ & DJ Snake),Peace Is The Mission,Major Lazer,2015-06-01,176561,0,0.00346,0.723,0.809,0.00123,0.565,0.274,-3.081,0.0625,98.007,4
3,The Less I Know The Better,Currents,Tame Impala,2015-07-17,216320,84,0.0115,0.64,0.74,0.00678,0.167,0.785,-4.083,0.0284,116.879,4
4,Let It Happen,Currents,Tame Impala,2015-07-17,467586,74,0.00462,0.602,0.881,0.0266,0.111,0.577,-5.875,0.0443,125.012,4
5,The Trouble with Us,Work EP,Marcus Marr,2015-12-04,222066,0,0.338,0.828,0.744,0.000774,0.158,0.831,-4.932,0.0646,121.09,4
6,Do You Remember,Jarryd James EP,Jarryd James,2015-09-03,234426,35,0.169,0.662,0.334,0.000458,0.124,0.315,-10.012,0.0584,72.014,4
7,The Buzz (feat. Mataya & Young Tapz),Dark Night Sweet Light,Hermitude,2015-08-28,221786,56,0.33,0.739,0.583,0.00137,0.122,0.497,-6.434,0.173,140.941,4
8,Can't Feel My Face,Beauty Behind The Madness,The Weeknd,2015-08-28,213520,0,0.124,0.702,0.77,0.0,0.103,0.593,-5.416,0.0482,107.951,4
9,Magnets,Caracal (Deluxe),Disclosure,2015-09-25,199245,62,0.0626,0.704,0.628,1.49e-06,0.103,0.654,-7.882,0.162,92.005,4
10,Never Be,Never Be,Meg Mac,2015-08-07,253043,29,0.262,0.572,0.592,4.06e-05,0.0967,0.271,-8.195,0.0379,99.915,4
11,You Were Right,You Were Right,RÜFÜS DU SOL,2015-06-26,238646,0,0.0122,0.708,0.802,0.00299,0.117,0.701,-5.427,0.0379,121.973,4
12,Ocean Drive,Blasé Boys Club (Pt. 1),Duke Dumont,2015-10-02,206320,39,0.00637,0.686,0.718,0.000703,0.119,0.557,-5.054,0.0431,115.026,4
13,Hotline Bling,Hotline Bling,Drake,2015-07-31,267023,0,0.00257,0.896,0.623,0.000258,0.039,0.585,-8.008,0.0571,134.962,4
14,Like Soda,Like Soda,Violent Soho,2015-10-08,241507,0,0.0145,0.359,0.911,0.0,0.0508,0.252,-3.791,0.0767,133.624,4
15,Fire and the Flood,Dream Your Life Away (Deluxe Edition),Vance Joy,2015-09-04,249382,0,0.026,0.6,0.79,0.0,0.0959,0.345,-5.466,0.0365,115.063,4
16,Middle,Middle,DJ Snake,2015-10-16,220573,0,0.0175,0.564,0.737,0.0,0.054,0.211,-4.079,0.0414,104.764,4
