,Name,Album,Artist,Release_date,Length,Popularity,Track_id,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
31,Criminals,THE GLOW,DMA'S,2020-07-10,195013,51,14l8ieGhqYdA6qvIpjrNgp,0.00171,0.471,0.672,0.0,0.161,0.496,-4.034,0.0313,79.008,4
32,Breathe Deeper,The Slow Rush,Tame Impala,2020-02-14,372866,68,3LbZIhU0smEU5SUnxod4j4,0.0245,0.664,0.848,0.000127,0.172,0.502,-4.51,0.0322,104.998,4
33,Everybody Rise,Everybody Rise,Amy Shark,2020-06-18,190322,64,3eGmv9sxK60p8XIBLhBtC0,0.0335,0.702,0.676,0.0,0.102,0.65,-6.679,0.0526,103.057,4
34,Running Red Lights (feat. Rivers Cuomo & Pink Siifu),Running Red Lights (feat. Rivers Cuomo & Pink Siifu),The Avalanches,2020-03-18,279613,58,0UdYkM8rQeOV9B8n65fsfN,0.258,0.672,0.684,0.0,0.393,0.664,-6.084,0.0235,100.51,4
35,forget me too (feat. Halsey),Tickets To My Downfall,Machine Gun Kelly,2020-09-25,171620,79,1VSuFS7PahCN3SWbOcQ98m,0.000417,0.654,0.875,0.0086,0.194,0.522,-4.845,0.0744,99.975,4
36,SO DONE,SO DONE,The Kid LAROI,2020-10-23,126521,82,5psEZhQu6lukjhavJo4AbC,0.232,0.719,0.598,0.0,0.115,0.303,-6.254,0.077,142.592,4
37,Parasite Eve,Parasite Eve,Bring Me The Horizon,2020-06-25,291812,70,5OxclJsdFESni44YlpNpkR,0.0289,0.589,0.797,4.35e-06,0.383,0.232,-5.464,0.15,102.489,4
38,Righteous,Legends Never Die,Juice WRLD,2020-07-10,242180,81,5dOxHHMOFAbG3VH23t0xNm,0.0417,0.706,0.625,0.0,0.129,0.225,-7.426,0.0314,142.948,4
39,Come & Go (with Marshmello),Legends Never Die,Juice WRLD,2020-07-10,205484,84,2Y0wPrPQBrGhoLn14xRYCG,0.0172,0.625,0.814,0.0,0.158,0.535,-5.181,0.0657,144.991,4
40,I Still Dream About You,Don't Waste Your Anger,The Smith Street Band,2020-04-17,258216,51,6ZWQzqnHFWMryTPKpYKJaE,0.000437,0.146,0.806,0.0162,0.0922,0.347,-4.863,0.043,166.882,4
41,WHATS POPPIN,Sweet Action,Jack Harlow,2020-03-13,139741,82,1jaTQ3nqY3oAAYyCTbIvnM,0.017,0.923,0.604,0.0,0.272,0.826,-6.671,0.245,145.062,4
42,together,together,Ziggy Alberts,2020-01-24,243000,62,44a7FrYYcPeqSkK52OxA0g,0.904,0.828,0.375,3.03e-05,0.127,0.749,-10.78,0.0539,114.965,4
43,You & I,You & I,G Flip,2020-10-02,196281,55,6ADk1ufnAGeX3k2eOWmLoh,0.0153,0.606,0.592,0.0417,0.223,0.287,-6.656,0.0838,179.969,4
44,as long as you care,as long as you care,Ruel,2020-09-10,193189,67,0GQqQ7dA7B4mcEktSZaOUp,0.00692,0.55,0.591,0.0,0.11,0.308,-6.833,0.0377,78.68,4
45,Pretty Lady,Pretty Lady,Tash Sultana,2020-04-09,277908,65,6XDIGKP7TQ1GLedtCtfshM,0.705,0.471,0.602,5.73e-06,0.0936,0.573,-7.302,0.132,118.193,4
46,Animals,Animals,Architects,2020-10-20,244364,69,1Td7TGT1XtK2ojUjz1mGUV,0.000123,0.532,0.759,0.02,0.073,0.293,-3.842,0.0319,95.01,4
47,Ain't It Different (feat. AJ Tracey & Stormzy),Ain't It Different (feat. AJ Tracey & Stormzy),Headie One,2020-08-20,196363,73,6NJfIydBMYrXvlaXsFxmc8,0.00988,0.767,0.569,1.45e-05,0.109,0.524,-6.805,0.216,77.052,4
48,Wishing Well,Legends Never Die,Juice WRLD,2020-07-10,194621,87,2U5WueTLIK5WJLD7mvDODv,0.00336,0.65,0.613,0.0,0.267,0.0804,-6.13,0.128,149.972,4
49,Nothing to Love About Love,Nothing to Love About Love,Peking Duk,2020-10-30,209013,58,63CZ0zvkjuuYYXJwhcOq9P,0.0001,0.506,0.607,3.31e-05,0.266,0.591,-7.001,0.0336,132.959,4
50,Your Love (Déjà Vu),Dreamland,Glass Animals,2020-08-07,234372,60,0bx6v84HtmEYFRBAOvDTgk,0.0167,0.851,0.663,0.363,0.103,0.605,-7.168,0.0532,108.004,4
51,The Glow,THE GLOW,DMA'S,2020-07-10,174266,49,3jUTu7LGYC6Ty0eHobqD7q,1.3e-05,0.414,0.908,0.0,0.249,0.759,-4.09,0.038,149.941,4
52,In Your Eyes,After Hours,The Weeknd,2020-03-20,237520,86,7szuecWAPwGoV1e5vGu8tl,0.00285,0.667,0.719,8.1e-05,0.0736,0.717,-5.371,0.0346,100.021,4
53,Blue - Flume Remix,Blue (Flume Remix),Eiffel 65,2020-07-03,166666,62,0chpQTaECrCZBusarf71Ql,0.434,0.743,0.701,0.0075,0.249,0.659,-3.907,0.0886,134.987,4
54,I Think You're Great,The Theory of Absolutely Nothing,Alex the Astronaut,2020-08-21,226941,47,5aIdpMrlM4sqfvl2geXWEP,0.0157,0.622,0.863,0.00835,0.599,0.811,-5.912,0.0466,122.747,4
55,On The Line,On The Line,San Cisco,2020-05-22,300657,49,4ztnd2IahPRr3wk9FPwiGV,0.0333,0.64,0.863,0.00148,0.146,0.653,-4.547,0.031,131.073,4
56,Sobercoaster,Sobercoaster,Beddy Rays,2020-04-22,162319,51,2GJu60LoYphb4QfIj91ihw,7.93e-05,0.297,0.951,0.0,0.349,0.568,-2.502,0.0843,188.097,4
57,Fly Away,Fly Away,Tones And I,2020-11-13,178156,71,1jgu8MFTEGdL1wjw9gZj5y,0.223,0.805,0.515,0.0,0.238,0.488,-6.201,0.0915,124.969,4
58,Gimme Love,Gimme Love,Joji,2020-04-16,214557,72,2hfoyc7ve6xM4ZEiNIiU1B,0.696,0.482,0.631,0.0242,0.209,0.0743,-6.917,0.0986,126.576,3
59,GO (feat. Juice WRLD),GO (feat. Juice WRLD),The Kid LAROI,2020-06-12,183947,68,2t7D3y0jvYjR8IP9Bosyew,0.185,0.544,0.744,0.0,0.336,0.572,-5.007,0.0889,73.699,4
60,Pretty Grim,Pretty Grim,Ruby Fields,2020-09-24,166013,49,5tRRL80tSQKxFl857IzFpd,0.1,0.524,0.665,0.0,0.0955,0.325,-4.553,0.0342,109.919,4
61,Run,Run,Joji,2020-02-06,195000,68,6p8eEdiZLKJH8tcjGZuNTK,0.0416,0.447,0.72,0.000297,0.614,0.362,-3.954,0.0332,157.892,3
62,Day & Age,Day & Age,Ball Park Music,2020-06-05,230448,50,62V4ytEZURvDdECxafpZrt,0.16,0.536,0.456,0.00799,0.108,0.298,-6.055,0.0339,122.004,4
63,Soak Me In Bleach,Everyone Loves You… Once You Leave Them,The Amity Affliction,2020-02-21,225916,49,3MccaQsc3VL1uXzVW9XqCP,0.000137,0.256,0.91,0.0,0.139,0.196,-5.278,0.119,109.656,5
64,C'MON (feat. Travis Barker),C'MON (feat. Travis Barker),Amy Shark,2020-10-22,220461,59,1EXNyTN6Ux1sIuea1R8GqE,0.425,0.626,0.665,0.0,0.0331,0.303,-5.59,0.0458,122.004,4
65,Fantasising,Fantasising,Skegss,2020-09-16,206733,52,61ZogLQgpqUfG9eZEUryhA,1.66e-05,0.176,0.962,0.522,0.321,0.425,-3.139,0.103,153.951,4
66,Boss Bitch,Boss Bitch,Doja Cat,2020-01-23,134239,82,78qd8dvwea0Gosb6Fe6j3k,0.127,0.707,0.955,0.0,0.202,0.575,-4.593,0.222,125.989,4
67,Lie To Me,Lie To Me,Vera Blue,2020-08-20,226853,57,7b4fV8udoKpIlckrLAOV3y,0.11,0.683,0.572,1.54e-05,0.0895,0.583,-7.086,0.0447,100.035,4
68,Second,Second,Hope D,2020-03-12,272278,51,4n1OJIo6JGMAx2NHhPQSyw,0.018,0.508,0.893,0.0,0.119,0.388,-3.542,0.0775,80.979,4
69,Low,Low,Chet Faker,2020-10-02,274423,65,52AlJfHPhlkY7OGrb2AjeQ,0.131,0.651,0.533,0.181,0.158,0.573,-8.726,0.0592,79.538,4
70,Obey (with YUNGBLUD),Obey (with YUNGBLUD),Bring Me The Horizon,2020-09-02,220538,66,7fQox8Ere1HDm0jhSnsFHu,0.000103,0.462,0.99,0.0,0.374,0.204,-3.175,0.211,137.061,4
71,Way Down,Lonely Diamond,Ocean Alley,2020-06-19,200626,53,7FlY52aY7xq3UCFGRcYMs0,0.00307,0.639,0.653,0.0465,0.0711,0.716,-9.053,0.0321,142.942,4
