,Name,Album,Artist,Release_date,Length,Popularity,Track_id,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
29,Cherie,Cherie,Vernon Sanders,2020-02-14,248750,54,2aFdC7xP56IAHVc6NulDRX,0.979,0.378,0.0761,0.61,0.185,0.0698,-23.045,0.0351,111.29,4
30,Misty Morning,Misty Morning,Mino Conte & Co,2020-10-02,193606,57,1QwunZ0xkzaVuGG9hFT8pC,0.903,0.489,0.228,0.0912,0.124,0.18,-16.06,0.0328,73.636,4
31,People Time,People Time,Claudio Chiara,2020-12-16,266066,47,1qpREc7J77glPZPIhqokQ0,0.872,0.494,0.163,0.00594,0.0633,0.362,-10.576,0.0546,65.823,4
32,Never Let Me Go,Lil' Darlin',Alexander Martin Jazz Trio,2020-10-05,258919,56,6JqS6NY4vXjP9sTAwH8k6N,0.924,0.436,0.157,0.753,0.381,0.185,-17.516,0.0346,84.389,4
33,A Time For Love,On A Misty Night,Mandevilla,2020-10-16,308187,60,1lj6MFAyOG9mlwmp0EkBAF,0.972,0.413,0.216,0.933,0.366,0.12,-18.276,0.0323,121.925,4
34,L'Espace,Transitions,Joel Haynes Trio,2008-06-09,447360,45,0YxJwylWHrNkgI9rTrbXHi,0.875,0.456,0.282,0.586,0.904,0.155,-14.318,0.0516,121.665,4
35,Everytime We Say Goodbye,How Long Has This Been Going On,Billy Charlotte,2021-01-25,245713,52,6xeEdMWJiNsQwxmCJ7fsQ6,0.914,0.46,0.215,0.772,0.125,0.198,-16.813,0.0291,96.269,4
36,Peace,Peace,Winter Jazz Trio,2021-02-08,205278,11,2XbzKkjwyO7nVUThZSudGv,0.957,0.511,0.19,0.737,0.189,0.113,-15.757,0.0332,97.135,4
37,Landing,Landing,Red Brick Lane,2020-05-15,181389,58,5Ay0F2FMw9j8HiAKqDI8re,0.927,0.292,0.0382,0.915,0.101,0.167,-17.212,0.0378,53.081,4
38,In a Sentimental Mood,The Time is Now,David Hazeltine,2018-10-26,467236,41,0fv2YFvTsKNLK0X7PNvXqM,0.975,0.498,0.0619,0.812,0.097,0.135,-22.658,0.0373,115.231,4
39,Pretty Ballad,Pretty Ballad,Louis Silva Band,2020-06-03,206854,58,4T82mssmK8VpyjB6QVMlcI,0.936,0.422,0.174,0.929,0.367,0.0858,-15.427,0.0378,95.089,4
40,Goodbye Pork Pie Hat,Ah Um,Charles Mingus,1959,342373,57,3PJMsxg6rz9FOo6xNiASXz,0.957,0.356,0.0937,0.096,0.209,0.278,-16.64,0.0353,86.669,3
41,Jazzanooga,Jazzanooga,Chattanooga Trio,2020-11-25,167569,61,3itQmY3qDISKklo9IYsVsq,0.882,0.588,0.0493,0.496,0.136,0.202,-20.4,0.0355,99.929,4
