,Name,Album,Artist,Release_date,Length,Popularity,Track_id,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
30,Happy Ever After,Happy Ever After,Troy Kemp,2021-02-12,268493,40,5qoMH9hVHYFqARj7nA8A5H,0.152,0.453,0.66,0.0,0.126,0.451,-5.417,0.0305,149.751,4
31,Still Love You,Two Thousand Miles,Tyler Rich,2020-09-04,180253,52,79SpZx07lxhiWXirNVvqGZ,0.0132,0.691,0.746,0.0,0.151,0.765,-5.534,0.0398,134.977,4
32,Lost In Us,Lost In Us,Hurricane Fall,2021-01-29,180710,43,2KUacvCrre6ckPVUBrROpN,0.0158,0.489,0.725,0.0,0.13,0.136,-4.455,0.0315,107.938,4
33,Whatever Forever Is,The Pink Slip EP,Devin Dawson,2021-01-15,217891,61,1fNznqiu5d1wLezuTyy1UB,0.0308,0.635,0.827,2.39e-05,0.0838,0.936,-6.021,0.0468,154.016,4
34,That Ain't Me No More,That Ain't Me No More,Matt Stell,2021-02-05,191853,61,4wrKruoaRzt3TtdzJ9uR0F,0.082,0.555,0.759,2.5e-06,0.114,0.22,-3.651,0.0305,152.052,4
35,Heart On Fire,Heart On Fire,Eric Church,2021-01-29,258805,61,0RshiY6XKLbdsnFNEQoHFH,0.0352,0.653,0.927,4.47e-05,0.0966,0.894,-4.699,0.0289,119.97,4
36,Things A Man Oughta Know,Redneck Hollywood,Lainey Wilson,2019-09-13,206320,68,7cwKO3SvjCpTyLiIWfnxpx,0.518,0.661,0.67,2.2e-06,0.13,0.357,-5.58,0.0307,139.852,4
37,Undivided,Undivided,Tim McGraw,2021-01-13,175920,70,2DINVEELpI3ibUW2EzeDs7,0.131,0.583,0.812,0.0,0.201,0.408,-4.684,0.0299,89.992,4
38,29,29,Carly Pearce,2021-02-19,222978,55,3VGGcNF0O9loBSuLveZEUU,0.373,0.564,0.519,0.0,0.0938,0.35,-7.878,0.0294,81.028,4
39,Good Times Roll,Bettie James,Jimmie Allen,2020-07-10,158240,61,2A0JdQvwSbOtI9sSIIxgQR,0.00935,0.634,0.748,0.0,0.172,0.704,-3.916,0.0275,95.991,4
40,More Beer,More Beer,Lee Brice,2020-10-02,154386,49,4NmUNvMjX0LzztKePGtiC2,0.0239,0.537,0.802,0.0,0.176,0.776,-6.88,0.0471,152.097,4
41,GIVE HEAVEN SOME HELL,GIVE HEAVEN SOME HELL,HARDY,2020-07-24,217801,60,5nra2uQhiaYKKpemgiDNC3,0.0525,0.639,0.843,0.0,0.0854,0.528,-4.975,0.0362,126.047,4
42,Without You,Without You,Luke Combs,2020-09-18,224986,35,34slXA5D75T5S0dwYYRd4J,0.307,0.522,0.659,0.0,0.102,0.355,-6.016,0.0304,141.996,4
43,Short Lived Love,Short Lived Love,Brad Cox,2020-10-16,278245,47,1LPc97YaYqzIsGEuclhIRh,0.494,0.562,0.515,0.00733,0.0739,0.358,-7.538,0.0322,137.964,4
44,It's About Time (feat. Florida Georgia Line),It's About Time (feat. Florida Georgia Line),Russell Dickerson,2020-11-20,175772,71,7eQEnXy5vNjPv6aXVl6N26,0.249,0.765,0.92,0.0,0.618,0.799,-4.362,0.0984,121.011,4
45,Minimum Wage,Minimum Wage,Blake Shelton,2021-01-15,228186,70,4ijajhHtBsOn91S4dgkhu7,0.00187,0.546,0.934,0.0,0.062,0.775,-3.796,0.0643,89.972,4
