,Name,Album,Artist,Release_date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,valence,Loudness,Speechiness,Tempo,Time_signature
0,Sundress,Sundress,A$AP Rocky,2018-11-20,158205,76,0.181,0.721,0.707,3.68e-06,0.143,0.743,-6.364,0.0595,125.005,4
1,Everybody But You,I Love Songs,Thundamentals,2018-09-21,214359,50,0.299,0.585,0.56,0.0,0.154,0.586,-7.992,0.175,167.903,4
2,You Can Count On Me,You Can Count On Me,Trophy Eyes,2018-05-30,191626,0,0.0362,0.536,0.881,0.0,0.363,0.542,-2.733,0.047,160.002,4
3,Ivy (Doomsday),Misery,The Amity Affliction,2018-08-24,214493,52,0.00958,0.5,0.833,0.0,0.167,0.451,-5.545,0.0404,145.955,4
4,Four Out Of Five,Tranquility Base Hotel & Casino,Arctic Monkeys,2018-05-10,312346,39,0.0626,0.601,0.863,0.0,0.0717,0.676,-4.31,0.0685,130.189,4
5,Take It To The Heart,To A Stranger,Odette,2018-07-06,215413,0,0.103,0.86,0.758,7e-06,0.187,0.67,-4.439,0.0597,110.022,4
6,Do I Need You Now?,For Now,DMA'S,2018-04-27,283846,0,0.000544,0.411,0.784,0.0,0.189,0.623,-6.617,0.0623,81.023,4
7,Ghost Town,ye,Kanye West,2018-06-01,271386,74,0.0969,0.573,0.545,0.0,0.329,0.297,-4.247,0.0288,83.378,4
8,Polygraph Eyes,21st Century Liability,YUNGBLUD,2018-07-06,223948,56,0.0431,0.5,0.754,0.0,0.492,0.52,-4.619,0.0437,92.003,4
9,Happy Sad,Chiaroscuro,Ocean Alley,2018-03-09,330594,51,0.00134,0.477,0.737,0.00613,0.104,0.301,-9.262,0.0495,124.023,4
10,Psycho (feat. Ty Dolla $ign),beerbongs & bentleys,Post Malone,2018-04-27,221440,78,0.546,0.75,0.56,0.0,0.111,0.459,-8.094,0.105,140.06,4
11,Dazed & Confused,Dazed & Confused,Ruel,2018-04-27,189608,69,0.102,0.688,0.5,0.0,0.355,0.418,-7.411,0.138,127.906,3
12,Labrador,Labrador,WAAX,2018-04-27,221402,0,0.000632,0.498,0.791,2.81e-05,0.315,0.468,-3.759,0.0963,120.039,4
13,Younger,Younger,Ruel,2018-06-05,222320,66,0.202,0.745,0.477,0.0,0.12,0.454,-7.706,0.088,136.055,4
14,Dirt Cheap,Dirt Cheap,Lime Cordiale,2018-11-02,175126,49,0.747,0.687,0.796,0.00159,0.283,0.737,-7.699,0.133,136.012,4
15,Bubblin,Bubblin,Anderson .Paak,2018-05-17,209093,60,0.0731,0.568,0.873,0.0,0.367,0.547,-5.22,0.265,106.783,5
16,Cigarettes,Flow State,Tash Sultana,2018-08-31,322715,55,0.032,0.557,0.753,6.86e-05,0.0598,0.562,-5.052,0.233,158.023,4
17,1999 WILDFIRE,1999 WILDFIRE,BROCKHAMPTON,2018-07-07,251250,64,0.253,0.811,0.57,0.0,0.148,0.814,-8.093,0.129,128.066,4
18,Hunger,Hunger,Florence + The Machine,2018-05-03,214666,49,0.53,0.729,0.675,0.0,0.0985,0.332,-5.62,0.0415,116.016,4
19,Ballroom,Sugar Mountain,Jack River,2018-06-22,195829,0,0.155,0.514,0.721,0.0,0.0833,0.137,-4.982,0.0356,122.898,4
20,Nothing Breaks Like a Heart (feat. Miley Cyrus),Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,2018-11-30,217466,74,0.00987,0.601,0.794,1.36e-06,0.388,0.244,-5.844,0.0671,114.066,4
21,Clumsy Love,Clumsy Love,Thelma Plum,2018-07-13,187640,48,0.467,0.689,0.728,0.0,0.116,0.56,-5.528,0.0379,84.998,4
22,Better Together,Better Together,Hayden James,2018-11-02,236866,0,0.109,0.759,0.812,0.0117,0.327,0.753,-6.972,0.0542,116.009,4
23,Miracle,Love Is Dead,CHVRCHES,2018-05-25,188251,0,0.015,0.577,0.751,0.0,0.189,0.44,-4.204,0.0314,124.004,4
24,Clarity,Clarity,Polish Club,2018-10-05,246706,0,0.00379,0.595,0.92,0.0279,0.37,0.232,-3.638,0.0523,113.98,4
25,Molotov,Molotov,Kira Puru,2018-06-07,208110,41,0.0186,0.686,0.754,2.59e-05,0.085,0.507,-5.707,0.0352,91.966,4
