,Name,Album,Artist,Release_date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,valence,Loudness,Speechiness,Tempo,Time_signature
26,Pussy Is God,Pussy Is God,King Princess,2018-11-02,205533,60,0.049,0.739,0.621,0.00369,0.0718,0.462,-6.929,0.238,85.969,4
27,Sweet Release,Blend Inn,Hockey Dad,2018-02-09,207430,0,6.75e-06,0.26,0.867,0.000665,0.0575,0.662,-6.163,0.0452,141.589,4
28,Smogged Out,My Own Mess,Skegss,2018-09-07,174155,43,0.00149,0.569,0.848,0.0,0.267,0.836,-6.179,0.0287,127.819,4
29,UFO,UFO,Mallrat,2018-02-09,187078,0,0.0297,0.682,0.72,0.0,0.118,0.448,-6.514,0.0359,129.99,4
30,Cheetah Tongue,Beautiful People Will Ruin Your Life,The Wombats,2018-02-09,219481,42,0.043,0.525,0.968,0.000463,0.133,0.591,-3.075,0.0553,95.006,4
31,Eastside (with Halsey & Khalid),FRIENDS KEEP SECRETS,benny blanco,2018-12-07,170769,72,0.549,0.632,0.686,0.0,0.2,0.329,-7.665,0.243,89.949,4
32,Tints (feat. Kendrick Lamar),Oxnard,Anderson .Paak,2018-11-16,268400,61,0.0859,0.805,0.833,0.0,0.0578,0.703,-6.73,0.12,109.076,4
33,Need You,Need You,Flight Facilities,2018-02-28,200525,2,0.224,0.759,0.739,0.0124,0.0966,0.444,-6.501,0.0337,117.982,4
34,Scream Whole,Scream Whole,Methyl Ethel,2018-09-27,252424,32,0.231,0.794,0.71,0.00131,0.0735,0.519,-7.24,0.0614,126.027,4
35,Mistake,Lost Friends,Middle Kids,2018-05-04,212613,40,0.0331,0.515,0.896,2.81e-06,0.0601,0.503,-2.825,0.0511,134.977,4
36,BOOGIE,BOOGIE,BROCKHAMPTON,2017-12-12,193154,34,0.0137,0.604,0.933,0.0,0.37,0.28,-3.034,0.214,110.029,4
37,Killing My Time,Killing My Time,G Flip,2018-05-16,217148,0,0.442,0.838,0.609,1.99e-06,0.0742,0.609,-5.865,0.0446,102.988,4
38,I Wanna Be Everybody,Blend Inn,Hockey Dad,2018-02-09,218858,0,8.09e-05,0.492,0.863,2.53e-06,0.0892,0.753,-6.468,0.0411,110.393,4
39,The End,For Now,DMA'S,2018-04-27,264595,0,0.00543,0.35,0.855,0.0,0.35,0.327,-6.307,0.0585,103.013,4
40,Give Me My Name Back,Give Me My Name Back,Meg Mac,2018-10-12,191605,37,0.0235,0.585,0.556,2.55e-06,0.1,0.186,-6.05,0.0415,81.012,4
41,Soaked,Soaked,Bene,2018-09-14,241935,0,0.485,0.792,0.54,0.0,0.104,0.577,-5.975,0.0342,93.001,4
42,Martini,Hi Viz,The Presets,2018-06-01,240080,51,0.00645,0.817,0.673,0.151,0.15,0.684,-8.223,0.0819,126.042,4
43,Without Me,Without Me,Halsey,2018-10-04,201660,81,0.297,0.752,0.488,9.11e-06,0.0936,0.533,-7.05,0.0705,136.041,4
44,Wasted,Wasted,Peking Duk,2018-02-02,182370,52,0.00169,0.693,0.76,0.000977,0.121,0.751,-5.433,0.0353,115.0,4
45,Saturday Sun,Nation of Two,Vance Joy,2018-02-23,214746,0,0.497,0.628,0.869,0.0,0.169,0.701,-4.339,0.0489,99.97,4
46,We're Going Home,Nation of Two,Vance Joy,2018-02-23,207906,0,0.289,0.589,0.688,3.59e-06,0.139,0.453,-5.443,0.0301,95.902,4
47,Better,Suncity,Khalid,2018-10-18,229320,75,0.0765,0.596,0.552,0.334,0.104,0.112,-10.278,0.097,97.949,4
48,Mr La Di Da Di,Mr La Di Da Di,Baker Boy,2018-04-11,200214,40,0.126,0.806,0.734,0.0,0.909,0.642,-7.763,0.276,100.935,4
49,No Place,Solace,RÜFÜS DU SOL,2018-10-19,238920,49,0.0161,0.616,0.867,0.125,0.147,0.198,-6.232,0.0315,120.018,4
50,Missing Me,Missing Me,Angie McMahon,2018-02-26,199880,37,0.269,0.429,0.396,7.94e-05,0.0955,0.382,-8.41,0.057,99.155,4
51,When I Dream,When I Dream,San Cisco,2018-09-07,190472,48,0.0598,0.666,0.827,0.0,0.27,0.899,-6.618,0.0301,122.979,4
52,Like People,Bloody Lovely,DZ Deathrays,2018-02-02,241756,0,0.00127,0.43,0.89,1.28e-06,0.401,0.493,-5.861,0.0759,139.978,4
53,you should see me in a crown,you should see me in a crown,Billie Eilish,2018-07-18,180566,1,0.479,0.697,0.552,0.127,0.147,0.278,-10.271,0.196,75.235,4
54,MANTRA,MANTRA,Bring Me The Horizon,2018-08-21,233297,59,0.000477,0.502,0.817,0.0,0.153,0.617,-3.508,0.0447,90.024,4
55,Clark Griswold,Clark Griswold,Hilltop Hoods,2018-07-13,227106,0,0.193,0.828,0.69,9.5e-06,0.0947,0.832,-5.732,0.0804,95.997,4
56,God's Plan,Scorpion,Drake,2018-06-29,198973,82,0.0332,0.754,0.449,8.29e-05,0.552,0.357,-9.211,0.109,77.169,4
57,Laps Around The Sun,Laps Around The Sun,Ziggy Alberts,2018-11-09,206166,61,0.475,0.768,0.472,0.0,0.11,0.145,-10.047,0.0493,110.024,4
58,In The Air,For Now,DMA'S,2018-04-27,241318,0,0.183,0.414,0.712,0.0,0.254,0.502,-6.162,0.0304,144.006,4
59,Nice For What,Scorpion,Drake,2018-06-29,210746,76,0.0891,0.585,0.909,9.7e-05,0.119,0.758,-6.474,0.0707,93.372,4
60,The Perfect Life Does Not Exist,The Perfect Life Does Not Exist,Ball Park Music,2017-12-15,201670,0,0.00748,0.434,0.649,0.0,0.374,0.454,-7.489,0.0295,94.065,4
61,About You,About You,G Flip,2018-03-02,247771,0,0.239,0.564,0.592,4.74e-06,0.104,0.076,-7.598,0.0486,112.743,4
62,Love Me Now,Laps Around The Sun,Ziggy Alberts,2018-11-09,243800,56,0.328,0.739,0.378,1.11e-06,0.128,0.591,-10.25,0.033,109.003,4
63,All Loved Up,Love Monster,Amy Shark,2018-07-13,210000,53,0.0264,0.565,0.603,4.02e-05,0.0738,0.171,-6.33,0.177,177.996,4
64,Ladders,Swimming,Mac Miller,2018-08-03,287040,71,0.236,0.802,0.463,0.00531,0.105,0.291,-8.379,0.162,103.961,4
65,1950,1950,King Princess,2018-02-23,225133,76,0.648,0.6,0.535,4.7e-06,0.162,0.269,-7.043,0.107,71.912,4
66,Better Now,beerbongs & bentleys,Post Malone,2018-04-27,231266,82,0.331,0.68,0.578,0.0,0.135,0.341,-5.804,0.04,145.038,4
67,God Forgot,LO LA RU,The Rubens,2018-06-29,212173,0,0.449,0.692,0.737,4.78e-06,0.462,0.487,-5.798,0.15,118.897,4
68,Church,Awake,Alison Wonderland,2018-04-06,183912,53,0.0251,0.551,0.681,0.0,0.481,0.227,-4.873,0.0401,94.052,4
69,Sometimes,Sometimes,Cub Sport,2018-10-05,153666,41,0.212,0.607,0.59,0.0,0.171,0.427,-7.518,0.0328,118.868,4
70,Fire,Reprisal,Peking Duk,2018-05-11,226350,58,0.0256,0.679,0.69,8.92e-06,0.07,0.648,-2.744,0.054,99.949,4
71,All The Stars (with SZA),Black Panther The Album Music From And Inspired By,Kendrick Lamar,2018-02-09,232186,79,0.0605,0.698,0.633,0.000194,0.0926,0.552,-4.946,0.0597,96.924,4
72,Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,2018-12-14,158040,83,0.556,0.76,0.479,0.0,0.0703,0.913,-5.574,0.0466,89.911,4
73,All The Pretty Girls,All The Pretty Girls,Vera Blue,2018-10-26,202628,52,0.415,0.708,0.591,0.0,0.117,0.618,-5.825,0.0348,120.976,4
74,I Miss You,I Love Songs,Thundamentals,2018-09-21,205255,51,0.586,0.73,0.69,0.000112,0.184,0.87,-7.019,0.103,147.89,4
75,Leave Me Lonely,Leave Me Lonely,Hilltop Hoods,2018-11-23,194560,0,0.279,0.764,0.868,0.0,0.175,0.754,-5.827,0.0505,131.031,4
76,Treat You Better,Solace,RÜFÜS DU SOL,2018-10-19,273666,55,0.361,0.612,0.54,5.82e-06,0.102,0.197,-5.886,0.0338,121.952,4
77,Underwater,Solace,RÜFÜS DU SOL,2018-10-19,349893,54,0.0181,0.604,0.82,0.0168,0.115,0.44,-6.64,0.0342,117.996,4
78,Never Ever (feat. Sarah),LO LA RU,The Rubens,2018-06-29,199786,0,0.398,0.729,0.399,0.0,0.124,0.239,-7.159,0.04,111.893,4
79,Waiting,Waiting,KIAN,2018-11-30,215653,0,0.372,0.787,0.448,0.0,0.0779,0.471,-7.671,0.0508,138.03,4
80,Peach,Peach,Broods,2018-08-09,255397,0,0.00875,0.688,0.738,3.89e-05,0.257,0.251,-4.829,0.0405,111.022,4
81,Join The Club,Blend Inn,Hockey Dad,2018-02-09,197665,0,0.000124,0.303,0.967,0.0,0.0769,0.228,-4.561,0.147,159.932,4
82,lovely (with Khalid),lovely (with Khalid),Billie Eilish,2018-04-19,200185,87,0.934,0.351,0.296,0.0,0.095,0.12,-10.109,0.0333,115.284,4
83,Baby Come Back,Baby Come Back (triple j Like A Version),Ocean Alley,2018-05-18,289065,57,0.11,0.492,0.544,2.6e-05,0.0934,0.373,-9.13,0.0449,148.674,4
84,Just Friends,Just Friends,Hayden James,2018-04-27,238991,0,0.105,0.639,0.685,0.0,0.143,0.363,-4.571,0.049,110.041,4
85,I'm Good,I'm Good,Wafia,2018-08-10,217136,0,0.0236,0.738,0.696,9.09e-05,0.338,0.892,-3.59,0.0305,101.989,4
86,Praise The Lord (Da Shine) (feat. Skepta),TESTING,A$AP Rocky,2018-05-25,205040,79,0.0609,0.854,0.569,0.0816,0.1,0.294,-8.151,0.106,80.015,4
87,Turn,Beautiful People Will Ruin Your Life,The Wombats,2018-02-09,207679,49,0.0084,0.548,0.842,0.0,0.0779,0.38,-3.902,0.0489,105.121,4
88,Up In The Clouds,My Own Mess,Skegss,2018-09-07,149623,52,0.012,0.542,0.758,0.0,0.274,0.489,-5.032,0.0286,104.944,4
89,Knees,Chiaroscuro,Ocean Alley,2018-03-09,286785,61,0.0524,0.549,0.594,2.74e-06,0.312,0.365,-9.359,0.0452,119.935,4
90,Dinosaurs,Dinosaurs,Ruby Fields,2018-09-18,233359,41,0.658,0.487,0.392,3.2e-05,0.0977,0.206,-7.613,0.03,153.979,4
91,when the party's over,when the party's over,Billie Eilish,2018-10-17,199931,13,0.979,0.498,0.104,7.86e-05,0.0895,0.205,-14.08,0.0621,124.001,3
92,Groceries,In The Sky,Mallrat,2018-06-01,217284,59,0.127,0.688,0.539,4.16e-05,0.116,0.207,-8.587,0.0353,115.964,4
93,Be Alright,Be Alright,Dean Lewis,2018-06-29,196373,80,0.697,0.553,0.586,0.0,0.0813,0.443,-6.319,0.0362,126.684,4
94,I Said Hi,Love Monster,Amy Shark,2018-07-13,170413,56,0.00469,0.393,0.855,0.0,0.0735,0.328,-4.329,0.122,74.304,4
95,This Is America,This Is America,Childish Gambino,2018-05-06,225773,0,0.117,0.854,0.463,0.0,0.354,0.549,-6.159,0.137,120.024,4
96,SICKO MODE,ASTROWORLD,Travis Scott,2018-08-03,312820,85,0.00513,0.834,0.73,0.0,0.124,0.446,-3.714,0.222,155.008,4
97,Losing It,Losing It,FISHER,2018-07-13,248035,57,0.00182,0.76,0.964,0.7,0.0974,0.641,-5.844,0.0576,125.0,4
98,Confidence,Chiaroscuro,Ocean Alley,2018-03-09,253076,66,0.0637,0.59,0.562,0.0,0.105,0.561,-9.607,0.0505,140.835,4
