,Name,Album,Artist,Release_date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
39,Graveyard,Graveyard,Halsey,2019-09-13,181805,8,0.231,0.667,0.583,4.48e-05,0.181,0.187,-5.127,0.0747,92.043,4
40,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,Travis Scott,2019-10-04,175720,86,0.0546,0.598,0.427,5.83e-06,0.21,0.0605,-8.764,0.0317,76.469,4
41,Robbery,Death Race For Love,Juice WRLD,2019-03-08,240050,86,0.328,0.685,0.692,0.0,0.153,0.578,-5.122,0.0457,159.966,5
42,It Might Be Time,It Might Be Time,Tame Impala,2019-10-28,273013,2,0.0212,0.586,0.786,9.35e-05,0.642,0.326,-3.768,0.0484,115.959,4
43,Cool As Hell,Cool As Hell,Baker Boy,2019-01-25,186253,51,0.485,0.828,0.599,7.48e-06,0.0987,0.645,-6.593,0.0681,110.969,4
44,RICKY,ZUU,Denzel Curry,2019-05-31,147866,68,0.0399,0.776,0.562,0.0,0.138,0.521,-6.901,0.363,169.03,4
45,7 Minutes,A Place We Knew,Dean Lewis,2019-03-22,211453,62,0.526,0.613,0.739,0.0,0.149,0.712,-6.478,0.0311,104.966,4
46,SUGAR,GINGER,BROCKHAMPTON,2019-08-23,204533,78,0.449,0.453,0.538,0.0,0.19,0.516,-8.212,0.0638,122.973,4
47,Intentions (22),Intentions (22),Ziggy Alberts,2019-08-21,186693,51,0.294,0.709,0.382,0.000139,0.106,0.769,-11.13,0.127,82.08,4
48,Free Time,Free Time,Ruel,2019-09-13,218826,61,0.101,0.637,0.478,0.0,0.103,0.201,-5.783,0.03,99.989,3
49,Teach Me About Dying,My Own Pool of Light,Holy Holy,2019-08-02,205287,51,0.000217,0.543,0.721,3.28e-06,0.102,0.346,-5.377,0.0329,170.078,4
50,Evil Spider,FIRE ON MARZZ,BENEE,2019-06-28,153213,56,0.309,0.826,0.635,0.0,0.139,0.538,-5.844,0.106,105.971,4
51,Patience,Patience,Tame Impala,2019-03-22,292267,62,0.00223,0.546,0.859,0.000947,0.0529,0.645,-5.966,0.0306,99.965,4
52,You Little Beauty,You Little Beauty,FISHER,2019-05-09,206587,53,0.00237,0.927,0.953,0.466,0.31,0.915,-5.524,0.0915,123.983,4
53,Stained Glass,Stained Glass,Ocean Alley,2019-02-21,226346,47,0.0414,0.561,0.709,0.0102,0.116,0.271,-6.215,0.0343,132.058,4
54,Talk,Talk,Khalid,2019-02-07,197487,72,0.0501,0.9,0.4,0.0,0.0876,0.338,-8.443,0.124,136.001,4
55,MIDDLE CHILD,MIDDLE CHILD,J. Cole,2019-01-23,213593,80,0.149,0.837,0.364,0.0,0.271,0.463,-11.713,0.276,123.984,4
56,Jellyfish,Jellyfish,Slowly Slowly,2019-04-16,196406,38,0.00887,0.706,0.687,0.0,0.162,0.913,-5.071,0.0331,128.033,4
57,Lover,About Us,G Flip,2019-08-30,207288,0,0.579,0.448,0.467,0.0,0.11,0.0673,-4.942,0.0305,120.201,4
58,Nobody's Home,Nobody's Home,Mallrat,2019-02-01,216803,50,0.663,0.623,0.643,0.000101,0.103,0.535,-5.478,0.046,111.01,4
59,I Missed Out,I Missed Out,Hockey Dad,2019-11-15,213447,42,0.000146,0.291,0.963,1.41e-06,0.173,0.306,-3.881,0.0726,86.187,4
