,Name,Album,Artist,Release_date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,valence,Loudness,Speechiness,Tempo,Time_signature
0,HUMBLE.,DAMN.,Kendrick Lamar,2017-04-14,177000,1,0.000243,0.906,0.625,3.23e-05,0.0975,0.423,-6.779,0.0903,150.018,4
1,Let Me Down Easy,Go Farther In Lightness,Gang of Youths,2017-08-18,319346,61,0.22,0.672,0.899,0.302,0.142,0.927,-6.878,0.0323,139.01,4
2,Chateau,Snow,Angus & Julia Stone,2017-09-15,273533,60,0.637,0.661,0.589,0.863,0.111,0.603,-11.217,0.0368,129.987,4
3,Ubu,Ubu,Methyl Ethel,2017-01-24,302786,36,0.00598,0.683,0.722,0.0211,0.115,0.882,-8.321,0.0366,129.991,4
4,"The Deepest Sighs, the Frankest Shadows",Go Farther In Lightness,Gang of Youths,2017-08-18,351613,52,0.0565,0.355,0.812,0.00972,0.141,0.139,-5.861,0.0767,151.818,4
5,Green Light,Melodrama,Lorde,2017-06-16,234652,0,0.0162,0.616,0.714,1.23e-05,0.0817,0.24,-7.792,0.0982,128.924,4
6,Go Bang,Changa,PNAU,2017-11-10,189092,0,0.0714,0.598,0.893,0.0159,0.146,0.485,-3.072,0.0319,120.972,4
7,Sally,Everyone We Know,Thundamentals,2017-02-10,226560,0,0.227,0.723,0.866,0.0,0.194,0.59,-2.989,0.112,107.944,4
8,Lay It On Me,Lay It On Me,Vance Joy,2017-07-14,214699,0,0.116,0.733,0.673,7.96e-06,0.068,0.487,-5.713,0.0321,128.009,4
9,What Can I Do If the Fire Goes Out?,Go Farther In Lightness,Gang of Youths,2017-08-18,295506,51,0.000317,0.396,0.992,0.148,0.0597,0.0975,-3.504,0.159,99.905,4
10,SWEET,SATURATION II,BROCKHAMPTON,2017-08-25,274274,64,0.543,0.718,0.628,0.0,0.116,0.722,-6.007,0.223,92.107,4
11,Fake Magic,Fake Magic,Peking Duk,2017-06-01,167058,53,0.0408,0.726,0.862,0.2,0.63,0.701,-2.984,0.104,101.982,4
12,Young Dumb & Broke,American Teen,Khalid,2017-04-27,202546,79,0.199,0.798,0.539,1.66e-05,0.165,0.394,-6.351,0.0421,136.949,4
13,Homemade Dynamite,Melodrama,Lorde,2017-06-16,189796,0,0.252,0.762,0.437,2.86e-06,0.0901,0.217,-5.581,0.0568,106.965,4
14,Regular Touch,Perennial,Vera Blue,2017-07-21,208146,0,0.181,0.617,0.555,5.68e-06,0.111,0.462,-7.802,0.132,93.833,4
15,Feel the Way I Do,Quiet Ferocity,The Jungle Giants,2017-07-07,205146,58,0.0231,0.803,0.636,0.00505,0.0791,0.817,-4.64,0.0322,122.966,4
16,Marryuna,Marryuna,Baker Boy,2017-10-06,194243,39,0.0113,0.751,0.898,0.0,0.934,0.627,-6.238,0.0936,113.933,4
17,Exactly How You Are,Exactly How You Are,Ball Park Music,2017-09-15,216825,0,0.0225,0.432,0.809,0.00109,0.35,0.612,-5.678,0.0551,141.375,4
18,The Man,Wonderful Wonderful,The Killers,2017-09-22,250093,0,0.0725,0.614,0.944,2.52e-06,0.0708,0.546,-2.545,0.104,106.014,4
